001, 1, N
002, 1, O
003, 1, O-sec
004, 1, Nk
005, 1, N
006, 1, N
007, 1, N
008, 1, N
009, 1, N
010, 1, N
011, 1, N
012, 1, N
013, 1, O
014, 1, O
015, 1, N
016, 1, Nk
017, 1, N
018, 1, O-sec
019, 1, O
020, 不能, Lneg
021, 1, Nk
022, 1, N
023, 1, O
024, 1, N
025, 1, Onull
026, 1, Nk
027, 1, N
028, 1, O-sec
029, 1, Onull
030, 1, N
031, 1, N
032, 1, O-sec
033, 不能, Lneg
034, 1, Nk
035, 1, N
036, 1, N
037, 1, Nk
038, 1, Nk
039, 不能, Lneg
040, 1, Nk
041, 1, O-sec
042, 1, O
043, 1, N
044, 1, N
045, 1, O-sec
046, 1, Nk
047, 1, N
048, 1, N
049, 1, N
050, 1, N
051, 1, N
052, 1, O-sec
053, 1, N
054, 1, Nk
055, 1, O-sec
056, 1, N
057, 1, N
058, 1, Nk
059, 1, Nk
060, 1, O
061, 1, O-sec
062, 1, O
063, 1, N
064, 1, N
065, 1, O-sec
066, 1, N
067, 1, N
068, 1, O-sec
069, 1, O
070, 1, O
071, 1, N
072, 1, O
073, 1, N
074, 1, O-sec
075, 1, N
076, 1, N
077, 1, O
078, 1, N
079, 1, N
080, 1, N
081, 1, N
082, 1, N
083, 1, O
084, 1, N
085, 1, O
086, 1, Onull
087, 1, Nk
088, 1, Nk
089, 1, O
090, 1, O
091, 1, N
092, 1, N
093, 1, O-sec
094, 1, O
095, 1, O-sec
096, 1, Nk
097, 1, O-sec
098, 1, N
099, 1, N
100, 1, O
101, 1, Nk
102, 1, N
103, 1, N
104, 1, Nk
105, 1, N
106, 1, N
107, 1, N
108, 1, O-sec
109, 1, Nk
110, 1, N
111, 1, N
112, 不能, Lneg
113, 1, N
114, 1, Onull
115, 1, O
116, 1, O-sec
117, 1, Nk
118, 1, O-sec
119, 1, N
120, 1, O
121, 1, O-sec
122, 1, N
123, 1, N
124, 1, N
125, 1, Nk
126, 1, N
127, 1, O
128, 1, O
129, 1, O-sec
130, 1, Onull
131, 1, N
132, 1, O-sec
133, 1, O-sec
134, 1, N
135, 1, Nk
136, 1, O-sec
137, 1, N
138, 1, O
139, 1, N
140, 1, N
141, 1, O
142, 1, O
143, 1, O-sec
144, 1, N
145, 1, N
146, 1, N
147, 1, O-sec
148, 1, N
149, 1, N
150, 1, N
151, 1, N
152, 1, N
153, 1, N
154, 1, O-sec
155, 1, N
156, 1, O-sec
157, 1, N
158, 1, N
159, 1, N
160, 1, O
161, 1, Nk
162, 1, N
163, 1, O
164, 3, O-sec
165, 1, N
166, 1, N
167, 1, N
168, 1, O
169, 1, O
170, 1, N
171, 1, O
172, 1, N
173, 1, O-sec
174, 1, N
175, 1, N
176, 1, Nk
177, 1, O
178, 1, N
179, 1, N
180, 1, Nk
